student,lab no,name,formatting,commit intervals,commit messages,compiles,correct output,correct input,calculation,variables,functions,lib use,type casting,constants,if/else,logical conditions,switch,ternary,for loop,accumulator used,do-while,nested loops,file IO,prototypes,const params,static local,return vals,pass by val,default arg,overloaded,pass by ref
s19,2,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s20,2,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s21,2,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,
s22,2,yes,yes,yes,no,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s23,2,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s24,2,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s25,2,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s26,2,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s27,2,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s28,2,yes,no,yes,yes,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,
s29,2,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s30,2,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s31,2,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s32,2,yes,yes,yes,no,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s33,2,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s34,2,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s35,2,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,
s36,2,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,
s37,2,yes,no,yes,no,yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s38,2,yes,yes,yes,no,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
s1,3,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s2,3,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s3,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s4,3,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s5,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s6,3,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s7,3,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s8,3,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s9,3,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s10,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s11,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s12,3,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s13,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s14,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s15,3,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,,,,,,,,,,,,,,,,,,
s16,3,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s17,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s18,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,,,,,,,,
s19,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s20,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s21,3,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s22,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s23,3,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s24,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,,,,,,,,
s25,3,no,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s26,3,yes,yes,no,no,yes,no,no,no,yes,no,no,no,,,,,,,,,,,,,,,,,,
s27,3,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s28,3,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s29,3,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,,,,,,,,,,,,,,,,,,
s30,3,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s31,3,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s32,3,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s33,3,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s34,3,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s35,3,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,
s36,3,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,,,,,,,,,,,,,,,,,,
s37,3,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s38,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,
s1,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s2,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,,,,,,,,,,,,,,,
s3,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s4,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s5,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s6,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s7,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,,,,,,,,,,,,,,,
s8,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,,,,,,,,,,,,,,,
s9,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s10,4,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,,,,,,,,,,,,,,,
s11,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s12,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s13,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s14,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,,,,,
s15,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s16,4,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s17,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s18,4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,
s19,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,,,,,,,,,,,,,,
s20,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,,,,,,,,,,,,,,,
s21,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s22,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s23,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s24,4,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s25,4,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s26,4,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s27,4,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s28,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s29,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s30,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s31,4,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,
s32,4,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,,,,,
s33,4,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s34,4,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,,,,,
s35,4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,
s36,4,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,
s37,4,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,,,,,,,,,,,,,,,
s38,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,
s1,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s2,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s3,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,,,,,,,,,,,,
s4,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s5,5,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,,,,,,,,,,,,
s6,5,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s7,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,,,,,,,,,,,,,
s8,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,,,,,,,,,,,,,
s9,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,,,,,,,,,,,,,
s10,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,,,,,,,,,,,,
s11,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s12,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,,,,,,,,,,,,,
s13,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,,,,,,,,,,,,,
s14,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,,,,,,,,,,,,
s15,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s16,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,,,,,,,,,,,,
s17,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,,,,,,,,,,,,
s18,5,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s19,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,
s20,5,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,,,,,,,,,,,,,
s21,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,,,,,,,,,,,,,
s22,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,,,,,,,,,,,,
s23,5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,
s24,5,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,,,,,,,,,,,,
s25,5,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,,,,,,,,,,,,,
s26,5,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,,,,,,,,,,,,,
s27,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s28,5,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,,,,,,,,,,,,,
s29,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,,,,,,,,,,,,,
s30,5,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,,,,,,,,,,,,,
s31,5,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,,,,,,,,,,,,,
s32,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,,,,,,,,,,,,,
s33,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s34,5,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,,,,,,,,,,,,,
s35,5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,
s36,5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,
s37,5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,
s38,5,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,
s1,6,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,,,,,,,,,
s2,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s3,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s4,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s5,6,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,,,,,,,,,
s6,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s7,6,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,
s8,6,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,,,,,,,,,
s9,6,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,
s10,6,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s11,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,
s12,6,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,,,,,,,,,
s13,6,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s14,6,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,
s15,6,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,
s16,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,
s17,6,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,,,,,,,,,
s18,6,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,,,,,,,,,
s19,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,
s20,6,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s21,6,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,
s22,6,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,,,,,,,,,
s23,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s24,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s25,6,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s26,6,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s27,6,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,,,,,,,,,
s28,6,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,,,,,,,,,
s29,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,
s30,6,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s31,6,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,
s32,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,,,,,,,,,
s33,6,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,
s34,6,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,,,,,,,,,
s35,6,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,
s36,6,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,
s37,6,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,
s38,6,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,
s1,7,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,
s2,7,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,
s3,7,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,
s4,7,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,
s5,7,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,
